Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,9.185,4,0.1106434,0.997027,9.011178,119.1488,4613.938,-9.33,-117.2039,0,25.7,
4,9.285,4,0.1192116,1.072335,8.99522,119.545,4614.13,-9.33,-117.204,0,25.7,
4,9.385,4,0.11164,1.003658,8.990133,119.3187,4614.327,-9.33,-117.204,0,25.7,
4,9.485,4,0.1160173,1.043248,8.992177,119.375,4614.519,-9.33,-117.2043,0,25.7,
4,9.585,4,0.1177742,1.062086,9.017986,119.1862,4614.714,-9.33,-117.2045,0,25.7,
4,9.685,4,0.1124919,1.013631,9.010704,119.4925,4614.909,-9.33,-117.2045,0,25.7,
4,9.785,4,0.1204729,1.084019,8.998037,119.23,4615.097,-9.33,-117.2044,0,25.7,
4,9.885,4,0.1128446,1.014579,8.990941,119.1438,4615.29,-9.33,-117.2045,0,25.7,
4,9.985,4,0.115777,1.041179,8.992972,119.5337,4615.53,-9.33,-117.2047,0,25.7,
4,10.085,4,0.1158993,1.045427,9.020129,119.3975,4615.72,-9.33,-117.2047,0,25.7,
4,10.185,4,0.1123446,1.012631,9.013618,119.2038,4615.916,-9.33,-117.2047,0,25.7,
4,10.285,4,0.1186893,1.068256,9.000441,119.7,4616.111,-9.33,-117.2045,0,25.7,
4,10.385,4,0.1107624,0.9961794,8.993842,119.2075,4616.307,-9.33,-117.2045,0,25.7,
4,10.485,4,0.1142823,1.027605,8.991812,119.6963,4616.5,-9.33,-117.2045,0,25.8,
4,10.585,4,0.1156903,1.043374,9.018682,119.0213,4616.696,-9.33,-117.2045,0,25.8,
4,10.685,4,0.1110042,1.000323,9.01158,119.1288,4616.887,-9.33,-117.2044,0,25.8,
4,10.785,4,0.1177819,1.060082,9.000381,119.4388,4617.083,-9.33,-117.2042,0,25.8,
4,10.885,4,0.1131266,1.017012,8.990031,119.1737,4617.279,-9.33,-117.2043,0,25.8,
4,10.985,4,0.1176253,1.057397,8.989539,119.4312,4617.52,-9.33,-117.2047,0,25.8,
4,11.085,4,0.1174585,1.059248,9.018058,119.41,4617.711,-9.33,-117.2047,0,25.8,
4,11.185,4,0.1109299,0.9996347,9.01141,119.3787,4617.899,-9.33,-117.2045,0,25.8,
4,11.285,4,0.122572,1.103182,9.000277,119.5963,4618.093,-9.33,-117.2044,0,25.8,
4,11.385,4,0.1145611,1.030044,8.991214,119.505,4618.287,-9.33,-117.2042,0,25.8,
4,11.485,4,0.1182625,1.063005,8.988521,119.4888,4618.479,-9.33,-117.2045,0,25.8,
4,11.585,4,0.1191931,1.074667,9.016178,119.415,4618.671,-9.33,-117.2045,0,25.7,
4,11.685,4,0.1126281,1.01492,9.011252,119.1825,4618.877,-9.33,-117.2045,0,25.7,
4,11.785,4,0.119154,1.072848,9.003881,119.5287,4619.068,-9.33,-117.2043,0,25.7,
4,11.885,4,0.1091596,0.9817023,8.993273,119.17,4619.305,-9.33,-117.2043,0,25.7,
4,11.985,4,0.1135212,1.020412,8.98873,119.4812,4619.5,-9.33,-117.2043,0,25.7,
4,12.085,4,0.1192345,1.07478,9.014002,119.185,4619.693,-9.33,-117.2043,0,25.7,
4,12.185,4,0.1124855,1.013563,9.010612,119.5875,4619.882,-9.33,-117.2044,0,25.7,
4,12.285,4,0.1198417,1.078924,9.002912,119.4312,4620.073,-9.33,-117.2044,0,25.7,
4,12.385,4,0.112016,1.007292,8.992393,119.0662,4620.264,-9.33,-117.2042,0,25.7,
4,12.485,4,0.1151028,1.03445,8.987185,119.7325,4620.504,-9.33,-117.204,0,25.7,
4,12.585,4,0.1178648,1.062281,9.012704,119.2525,4620.698,-9.33,-117.2037,0,25.7,
4,12.685,4,0.1102854,0.9936367,9.009683,119.4125,4620.894,-9.33,-117.2036,0,25.7,
4,12.785,4,0.1200065,1.079765,8.997552,119.1862,4621.083,-9.33,-117.2035,0,25.7,
4,12.885,4,0.1127525,1.013193,8.985988,119.5475,4621.275,-9.33,-117.2035,0,25.7,
4,12.985,4,0.1165975,1.047041,8.979957,119.7363,4621.463,-9.33,-117.2033,0,25.7,
4,13.085,4,0.1184147,1.06674,9.008509,119.3163,4621.659,-9.33,-117.2035,0,25.7,
4,13.185,4,0.1119746,1.008474,9.006273,119.2575,4621.895,-9.33,-117.2035,0,25.7,
4,13.285,4,0.1201923,1.081194,8.995539,119.355,4622.085,-9.33,-117.2035,0,25.7,
4,13.385,4,0.114282,1.026682,8.983768,119.38,4622.281,-9.33,-117.2035,0,25.7,
4,13.485,4,0.115904,1.040874,8.980483,119.4487,4622.471,-9.33,-117.2035,0,25.7,
4,13.585,4,0.1180809,1.063723,9.008426,119.29,4622.661,-9.33,-117.2036,0,25.7,
4,13.685,4,0.1106579,0.9967412,9.007413,119.285,4622.853,-9.33,-117.2035,0,25.7,
4,13.785,4,0.1179029,1.060784,8.9971,119.3075,4623.139,-9.33,-117.2032,0,25.7,
4,13.885,4,0.1126589,1.012179,8.984458,119.5413,4623.281,-9.33,-117.2032,0,25.8,
4,13.985,4,0.1146459,1.029608,8.980774,119.2838,4623.473,-9.33,-117.2034,0,25.8,
4,14.085,4,0.1195554,1.076917,9.007686,119.2062,4623.664,-9.33,-117.2037,0,25.8,
4,14.185,4,0.1099701,0.9905191,9.007165,119.5512,4623.865,-9.33,-117.2038,0,25.8,
4,14.285,4,0.1207981,1.086945,8.998034,119.17,4624.058,-9.33,-117.2035,0,25.8,
4,14.385,4,0.1123641,1.009361,8.98295,119.1212,4624.251,-9.33,-117.2034,0,25.8,
4,14.485,4,0.1151728,1.034226,8.979783,119.4837,4624.445,-9.33,-117.2036,0,25.8,
4,14.585,4,0.1196685,1.077999,9.008208,118.9637,4624.683,-9.33,-117.2038,0,25.8,
4,14.685,4,0.1123613,1.012027,9.006899,119.4925,4624.87,-9.33,-117.2038,0,25.8,
4,14.785,4,0.1213709,1.092187,8.99875,119.2138,4625.065,-9.33,-117.2038,0,25.8,
4,14.885,4,0.1148004,1.031596,8.985997,119.7738,4625.259,-9.33,-117.2038,0,25.8,
4,14.985,4,0.114507,1.028488,8.981879,119.2675,4625.456,-9.33,-117.204,0,25.7,
4,15.085,4,0.1227365,1.105761,9.009224,119.23,4625.65,-9.33,-117.2041,0,25.7,
4,15.185,4,0.114756,1.033889,9.00945,119.2237,4625.847,-9.33,-117.2041,0,25.7,
4,15.285,4,0.1194325,1.075121,9.001917,119.41,4626.041,-9.33,-117.2041,0,25.7,
4,15.385,4,0.1146435,1.03043,8.988121,119.3787,4626.231,-9.33,-117.204,0,25.7,
4,15.485,4,0.1142208,1.02626,8.984885,119.3275,4626.475,-9.33,-117.2041,0,25.7,
4,15.585,4,0.1206313,1.086692,9.008376,119.0462,4626.668,-9.33,-117.204,0,25.7,
4,15.685,4,0.1114665,1.004194,9.008933,119.4312,4626.859,-9.33,-117.2038,0,25.7,
4,15.785,4,0.1176923,1.059277,9.000394,119.23,4627.053,-9.33,-117.2036,0,25.7,
4,15.885,4,0.113563,1.020399,8.985307,119.7675,4627.251,-9.33,-117.2036,0,25.7,
4,15.985,4,0.1133463,1.018005,8.981375,119.45,4627.445,-9.33,-117.2038,0,25.7,
4,16.085,4,0.1188919,1.070913,9.00745,119.3838,4627.635,-9.33,-117.204,0,25.8,
4,16.185,4,0.1120682,1.009767,9.010286,119.5712,4627.829,-9.33,-117.204,0,25.8,
4,16.285,4,0.115993,1.044352,9.003573,119.4775,4628.02,-9.33,-117.2039,0,25.8,
4,16.385,4,0.1150629,1.033928,8.985762,119.4075,4628.259,-9.33,-117.2039,0,25.8,
4,16.485,4,0.1128528,1.013758,8.983006,119.1,4628.449,-9.33,-117.204,0,25.8,
4,16.585,4,0.1186168,1.068542,9.008354,119.3525,4628.641,-9.33,-117.2044,0,25.8,
4,16.685,4,0.1119717,1.009101,9.01211,119.3587,4628.839,-9.33,-117.2044,0,25.8,
4,16.785,4,0.1179267,1.061765,9.003601,119.51,4629.031,-9.33,-117.2042,0,25.8,
4,16.885,4,0.1160538,1.043059,8.987721,119.535,4629.22,-9.33,-117.2042,0,25.8,
4,16.985,4,0.11429,1.026682,8.983136,119.245,4629.458,-9.33,-117.2043,0,25.8,
4,17.085,4,0.1206801,1.086819,9.005784,119.4938,4629.652,-9.33,-117.2045,0,25.8,
4,17.185,4,0.1122323,1.011549,9.012995,119.4262,4629.845,-9.33,-117.2046,0,25.8,
4,17.285,4,0.119522,1.076365,9.00558,119.2862,4630.039,-9.33,-117.2046,0,25.8,
4,17.385,4,0.1145544,1.029846,8.990016,119.4238,4630.23,-9.33,-117.2046,0,25.8,
4,17.485,4,0.1130798,1.016226,8.986805,119.4238,4630.42,-9.33,-117.2049,0,25.8,
4,17.585,4,0.1183664,1.066921,9.01372,119.175,4630.611,-9.33,-117.2051,0,25.8,
4,17.685,4,0.1112371,1.003126,9.017902,119.1663,4630.847,-9.33,-117.2051,0,25.8,
4,17.785,4,0.1173872,1.057702,9.010366,119.2275,4631.04,-9.33,-117.2049,0,25.8,
4,17.885,4,0.1143445,1.028225,8.992341,119.7138,4631.234,-9.33,-117.2048,0,25.8,
4,17.985,4,0.1108293,0.9958839,8.985743,119.1837,4631.426,-9.33,-117.2047,0,25.8,
4,18.085,4,0.1194825,1.07629,9.007933,119.6787,4631.615,-9.33,-117.2047,0,25.8,
4,18.185,4,0.1121895,1.011329,9.014469,119.57,4631.81,-9.33,-117.2047,0,25.8,
4,18.285,4,0.1180819,1.063645,9.007689,119.295,4632.004,-9.33,-117.2046,0,25.8,
4,18.385,4,0.1178074,1.058868,8.988127,119.6262,4632.196,-9.33,-117.2044,0,25.8,
4,18.485,4,0.1147466,1.030998,8.985003,119.0537,4632.434,-9.33,-117.2045,0,25.8,
4,18.585,4,0.120963,1.089218,9.004555,119.265,4632.624,-9.33,-117.2044,0,25.8,
4,18.685,4,0.1145086,1.031875,9.011335,119.1475,4632.813,-9.33,-117.2041,0,25.8,
4,18.785,4,0.120533,1.085507,9.005883,119.1837,4633.002,-9.33,-117.2041,0,25.8,
4,18.885,4,0.1204479,1.082487,8.98718,119.5,4633.193,-9.33,-117.2042,0,25.8,
4,18.985,4,0.1156612,1.038805,8.981449,118.91,4633.433,-9.33,-117.2042,0,25.8,
4,19.085,4,0.1221754,1.1,9.003447,119.6387,4633.621,-9.33,-117.2042,0,25.8,
4,19.185,4,0.1164647,1.049509,9.011389,119.2937,4633.81,-9.33,-117.2042,0,25.8,
4,19.285,4,0.1196146,1.077453,9.007707,119.8613,4634.007,-9.33,-117.2041,0,25.8,
4,19.385,4,0.1186152,1.06647,8.99101,119.1775,4634.204,-9.33,-117.2041,0,25.8,
4,19.485,4,0.1126258,1.01193,8.984882,119.3137,4634.397,-9.33,-117.2042,0,25.7,
4,19.585,4,0.1198953,1.07983,9.006441,119.3225,4634.592,-9.33,-117.2046,0,25.7,
4,19.685,4,0.1136287,1.023977,9.011611,119.2038,4634.786,-9.33,-117.2044,0,25.7,
4,19.785,4,0.1178784,1.061817,9.007731,119.3913,4635.024,-9.33,-117.2043,0,25.7,
4,19.885,4,0.1189028,1.068711,8.988109,119.3887,4635.215,-9.33,-117.2042,0,25.7,
4,19.985,4,0.1162834,1.044569,8.982963,119.345,4635.404,-9.33,-117.2044,0,25.7,
4,20.085,4,0.1224385,1.102319,9.003041,119.5387,4635.598,-9.33,-117.2044,0,25.7,
4,20.185,4,0.1154535,1.0405,9.012286,119.365,4635.791,-9.33,-117.2045,0,25.7,
4,20.285,4,0.1196594,1.077839,9.007559,119.3962,4635.985,-9.33,-117.2045,0,25.7,
4,20.385,4,0.1194797,1.074063,8.989502,119.505,4636.175,-9.33,-117.2045,0,25.7,
4,20.485,4,0.1139533,1.02376,8.984031,119.3112,4636.412,-9.33,-117.2045,0,25.7,
4,20.585,4,0.1201787,1.082181,9.004766,119.41,4636.605,-9.33,-117.2046,0,25.7,
4,20.685,4,0.1125366,1.014268,9.012778,119.275,4636.796,-9.33,-117.2046,0,25.7,
4,20.785,4,0.1190555,1.072543,9.008759,119.5875,4636.987,-9.33,-117.2044,0,25.7,
4,20.885,4,0.1199348,1.077943,8.987746,119.2925,4637.176,-9.33,-117.2044,0,25.7,
4,20.985,4,0.1135563,1.020155,8.983696,119.16,4637.417,-9.33,-117.2045,0,25.7,
4,21.085,4,0.1211652,1.090878,9.003227,119.56,4637.61,-9.33,-117.2045,0,25.7,
4,21.185,4,0.1144637,1.031356,9.010326,119.25,4637.801,-9.33,-117.2042,0,25.7,
4,21.285,4,0.1162138,1.04693,9.008655,119.8825,4637.994,-9.33,-117.2041,0,25.7,
