Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),
4,9.688,4,8.980734,1.534961,0.1709172,76.14875,477.5087,0,-115.3809,-9.33,
4,9.788,4,8.980764,1.536429,0.17108,77.115,477.2137,0,-115.3808,-9.33,
4,9.888,4,8.977644,1.552163,0.172892,77.88125,477.3575,0,-115.3807,-9.33,
4,9.988,4,8.978631,1.524255,0.1697647,78.64875,477.5487,0,-115.3808,-9.33,
4,10.088,4,8.981901,1.557872,0.1734457,79.395,477.2412,0,-115.3808,-9.33,
4,10.188,4,8.979637,1.524518,0.169775,80.16625,477.305,0,-115.3808,-9.33,
4,10.288,4,8.978616,1.545064,0.1720827,80.9225,477.465,0,-115.3808,-9.33,
4,10.388,4,8.976845,1.535783,0.1710827,81.87749,477.585,0,-115.3808,-9.33,
4,10.488,4,8.978832,1.529564,0.1703523,82.64375,477.1563,0,-115.3809,-9.33,
4,10.588,4,8.979399,1.551368,0.1727697,83.42,477.4825,0,-115.3812,-9.33,
4,10.688,4,8.980591,1.532159,0.1706078,84.19125,477.7175,0,-115.3816,-9.33,
4,10.788,4,8.985811,1.552183,0.1727371,84.9575,477.6375,0,-115.3816,-9.33,
4,10.888,4,8.982873,1.545798,0.1720828,85.73125,477.2612,0,-115.3818,-9.33,
4,10.988,4,8.983554,1.538326,0.171238,86.5075,477.4263,0,-115.3818,-9.33,
4,11.088,4,8.987393,1.559694,0.1735424,87.27375,477.5375,0,-115.3819,-9.33,
4,11.188,4,8.986322,1.531513,0.1704271,88.23875,477.6062,0,-115.382,-9.33,
4,11.288,4,8.983603,1.55406,0.1729884,88.99875,477.4825,0,-115.3822,-9.33,
4,11.388,4,8.984901,1.542876,0.1717187,89.7475,477.59,0,-115.3825,-9.33,
4,11.488,4,8.988481,1.544428,0.171823,90.52,477.4788,0,-115.3827,-9.33,
4,11.588,4,8.989684,1.554556,0.1729267,91.285,477.4387,0,-115.383,-9.33,
4,11.688,4,8.988747,1.5335,0.1706022,92.05125,477.2963,0,-115.383,-9.33,
4,11.788,4,8.993004,1.56249,0.1737451,93.00874,477.6337,0,-115.3827,-9.33,
4,11.888,4,8.988319,1.539823,0.1713138,93.78375,477.5375,0,-115.3827,-9.33,
4,11.988,4,8.992174,1.535679,0.1707795,94.5475,477.0075,0,-115.3827,-9.33,
4,12.088,4,8.991554,1.558642,0.1733451,95.2925,477.6688,0,-115.3826,-9.33,
4,12.188,4,8.990796,1.542132,0.1715234,96.06499,477.6025,0,-115.3824,-9.33,
4,12.288,4,8.988412,1.555683,0.1730766,96.83125,477.5575,0,-115.3824,-9.33,
4,12.388,4,8.985108,1.5417,0.1715839,97.775,477.3575,0,-115.3823,-9.33,
4,12.488,4,8.987449,1.557625,0.1733112,98.54874,477.3725,0,-115.3821,-9.33,
4,12.588,4,8.986911,1.564838,0.1741241,99.31374,477.625,0,-115.3821,-9.33,
4,12.688,4,8.98714,1.541505,0.1715234,100.0613,477.245,0,-115.3824,-9.33,
4,12.788,4,8.987684,1.557713,0.1733164,100.8387,477.2525,0,-115.3826,-9.33,
4,12.888,4,8.988375,1.542915,0.1716567,101.7962,477.77,0,-115.3828,-9.33,
4,12.988,4,8.991787,1.558096,0.1732799,102.5613,477.5362,0,-115.3826,-9.33,
4,13.088,4,8.99358,1.533783,0.170542,103.3263,477.3525,0,-115.3826,-9.33,
4,13.188,4,8.990694,1.538225,0.1710908,104.0788,477.7575,0,-115.3826,-9.33,
4,13.288,4,8.985867,1.563565,0.1740027,104.8363,477.515,0,-115.3824,-9.33,
4,13.388,4,8.984557,1.539995,0.1714047,105.6,477.6413,0,-115.3823,-9.33,
4,13.488,4,8.985904,1.561974,0.1738249,106.5575,477.05,0,-115.3823,-9.33,
4,13.588,4,8.984842,1.555567,0.1731323,107.325,477.4538,0,-115.3825,-9.33,
4,13.688,4,8.989592,1.558109,0.1733237,108.0975,477.8763,0,-115.3828,-9.33,
4,13.788,4,8.988755,1.564624,0.1740645,108.8562,477.0125,0,-115.3828,-9.33,
4,13.888,4,8.988025,1.537436,0.1710538,109.6125,477.4012,0,-115.3827,-9.33,
4,13.988,4,8.990001,1.562704,0.1738269,110.38,477.5825,0,-115.3827,-9.33,
4,14.088,4,8.993774,1.544418,0.1717208,111.33,477.4875,0,-115.3827,-9.33,
4,14.188,4,8.987617,1.531539,0.1704054,112.095,477.3637,0,-115.3825,-9.33,
4,14.288,4,8.98478,1.552124,0.1727504,112.8587,477.6025,0,-115.3825,-9.33,
4,14.388,4,8.985765,1.548591,0.1723383,113.6438,477.59,0,-115.3825,-9.33,
4,14.488,4,8.988378,1.575925,0.1753291,114.4088,477.1525,0,-115.3827,-9.33,
4,14.588,4,8.986743,1.54688,0.1721291,115.1738,477.3425,0,-115.3829,-9.33,
4,14.688,4,8.98961,1.570417,0.1746925,115.9512,477.5737,0,-115.3828,-9.33,
4,14.788,4,8.991149,1.546957,0.1720534,116.905,477.6425,0,-115.3828,-9.33,
4,14.888,4,8.989244,1.546561,0.1720458,117.6787,477.7112,0,-115.3828,-9.33,
4,14.988,4,8.990084,1.575441,0.1752421,118.4463,477.2712,0,-115.3827,-9.33,
4,15.088,4,8.989328,1.550578,0.172491,119.1887,477.8225,0,-115.3827,-9.33,
4,15.188,4,8.987827,1.572989,0.1750133,119.9625,477.65,0,-115.3826,-9.33,
4,15.288,4,8.982198,1.555388,0.1731634,120.7275,476.9587,0,-115.3826,-9.33,
4,15.388,4,8.987034,1.527288,0.1699435,121.6938,477.6325,0,-115.3826,-9.33,
4,15.488,4,8.986852,1.56073,0.1736682,122.46,477.4213,0,-115.3823,-9.33,
4,15.588,4,8.983365,1.550159,0.1725589,123.235,477.6088,0,-115.3823,-9.33,
