Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,,Lubricant
Rotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,,Vaseline
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,13.866,4,0.1683055,0.5030597,2.988967,477.8525,2055.321,-9.33,-116.374,0,25.5,
4,13.966,4,0.173509,0.518537,2.988531,477.2987,2056.109,-9.33,-116.3741,0,25.5,
4,14.066,4,0.1778311,0.5315852,2.989271,477.27,2056.866,-9.33,-116.3742,0,25.5,
4,14.166,4,0.1738817,0.5205634,2.993779,477.4287,2057.659,-9.33,-116.3742,0,25.5,
4,14.266,4,0.1717883,0.5137308,2.990488,477.3337,2058.441,-9.33,-116.3743,0,25.5,
4,14.366,4,0.1717739,0.5142082,2.993519,477.82,2059.221,-9.33,-116.3745,0,25.5,
4,14.466,4,0.1741922,0.5213721,2.993085,477.2525,2059.996,-9.33,-116.3744,0,25.5,
4,14.566,4,0.1715738,0.5142862,2.997463,477.285,2060.78,-9.33,-116.3744,0,25.5,
4,14.666,4,0.1710833,0.5124611,2.995389,477.39,2061.56,-9.33,-116.3746,0,25.5,
4,14.766,4,0.1734208,0.5189527,2.992447,477.3188,2062.346,-9.33,-116.3748,0,25.5,
4,14.866,4,0.1719975,0.5154423,2.996801,477.4225,2063.125,-9.33,-116.375,0,25.5,
4,14.966,4,0.1724007,0.5170075,2.998872,477.6437,2063.912,-9.33,-116.375,0,25.5,
4,15.066,4,0.1705027,0.511633,3.000733,477.7013,2064.694,-9.33,-116.3751,0,25.5,
4,15.166,4,0.1682621,0.5050894,3.001801,476.9725,2065.659,-9.33,-116.3755,0,25.5,
4,15.266,4,0.1661187,0.4983672,3.000067,477.265,2066.445,-9.33,-116.3755,0,25.5,
4,15.366,4,0.1666297,0.4998611,2.999832,477.555,2067.226,-9.33,-116.3753,0,25.5,
4,15.466,4,0.1723695,0.5168094,2.998265,477.555,2068.014,-9.33,-116.3753,0,25.5,
4,15.566,4,0.1728395,0.518011,2.997064,477.235,2068.775,-9.33,-116.3756,0,25.5,
4,15.666,4,0.1754412,0.5258308,2.997191,477.3613,2069.57,-9.33,-116.3758,0,25.5,
4,15.766,4,0.1769564,0.5299875,2.995017,477.3537,2070.353,-9.33,-116.3759,0,25.5,
4,15.866,4,0.1770268,0.5309617,2.99933,477.6375,2071.131,-9.33,-116.3759,0,25.5,
4,15.966,4,0.1782786,0.5350762,3.001349,477.1088,2071.897,-9.33,-116.3757,0,25.5,
4,16.066,4,0.1767527,0.5303837,3.000711,477.7063,2072.682,-9.33,-116.3757,0,25.5,
4,16.166,4,0.1763794,0.5286853,2.997432,477.6413,2073.472,-9.33,-116.3757,0,25.5,
4,16.266,4,0.1761385,0.5279903,2.997587,477.0488,2074.262,-9.33,-116.3758,0,25.5,
4,16.366,4,0.1708485,0.5132535,3.004144,477.7025,2075.05,-9.33,-116.3758,0,25.5,
4,16.466,4,0.1668624,0.5021375,3.00929,477.6725,2075.836,-9.33,-116.3757,0,25.5,
