Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,7.788,4,8.981127,1.517851,nan,61.18875,477.4488,0,-115.3803,-9.33,,nan,nan,nan
4,7.888,4,8.977907,1.543749,nan,61.9625,477.815,0,-115.3805,-9.33,,nan,nan,nan
4,7.988,4,8.977764,1.515587,nan,62.73875,477.4875,0,-115.3805,-9.33,,nan,nan,nan
4,8.088,4,8.981278,1.532717,nan,63.51125,477.3838,0,-115.3805,-9.33,,nan,nan,nan
4,8.188,4,8.982858,1.529688,nan,64.27625,477.5338,0,-115.3805,-9.33,,nan,nan,nan
4,8.288,4,8.977612,1.521488,nan,65.0425,477.3138,0,-115.3805,-9.33,,nan,nan,nan
4,8.388,4,8.976275,1.542538,nan,65.82625,477.345,0,-115.3805,-9.33,,nan,nan,nan
4,8.488,4,8.979319,1.492722,nan,66.7925,477.7437,0,-115.3807,-9.33,,nan,nan,nan
4,8.588,4,8.979254,1.529058,nan,67.555,477.345,0,-115.3807,-9.33,,nan,nan,nan
4,8.688,4,8.980006,1.540245,nan,68.30125,477.06,0,-115.3809,-9.33,,nan,nan,nan
4,8.788,4,8.98138,1.529321,nan,69.06625,477.5938,0,-115.3809,-9.33,,nan,nan,nan
4,8.888,4,8.979585,1.544538,nan,69.82999,477.7162,0,-115.3808,-9.33,,nan,nan,nan
4,8.988,4,8.980344,1.513343,nan,70.59,477.6275,0,-115.3807,-9.33,,nan,nan,nan
4,9.088,4,8.983173,1.542034,nan,71.365,477.0912,0,-115.381,-9.33,,nan,nan,nan
4,9.188,4,8.982592,1.530383,nan,72.31375,477.41,0,-115.3809,-9.33,,nan,nan,nan
4,9.288,4,8.979991,1.537443,nan,73.07,477.5338,0,-115.3809,-9.33,,nan,nan,nan
4,9.388,4,8.976368,1.546409,nan,73.83625,477.5313,0,-115.3809,-9.33,,nan,nan,nan
