Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,11.244,4,2.985766,0.4778142,0.1600307,119.5975,0,-9.33,-114.6059,
4,11.344,4,2.996504,0.5070931,0.1692283,119.325,0,-9.33,-114.6059,
4,11.444,4,2.995733,0.4703711,0.1570137,119.2887,0,-9.33,-114.6059,
4,11.544,4,2.998135,0.4967987,0.1657026,119.1375,0,-9.33,-114.6059,
4,11.644,4,2.998776,0.4981399,0.1661144,120.0313,0,-9.33,-114.6061,
4,11.744,4,2.983686,0.4849456,0.1625324,119.6725,0,-9.33,-114.606,
4,11.844,4,2.998903,0.5065768,0.1689207,119.0662,0,-9.33,-114.606,
4,11.944,4,2.993726,0.4816884,0.1608993,118.8988,0,-9.33,-114.6062,
4,12.044,4,2.998123,0.5045146,0.1682768,119.0812,0,-9.33,-114.6063,
4,12.144,4,3.001111,0.4965357,0.1654506,120.1587,0,-9.33,-114.6064,
4,12.244,4,2.98407,0.4814611,0.1613438,119.5813,0,-9.33,-114.6064,
4,12.344,4,2.997234,0.5133087,0.1712608,119.0825,0,-9.33,-114.6065,
4,12.444,4,2.997894,0.4834096,0.1612497,119.1775,0,-9.33,-114.6068,
4,12.544,4,3.001699,0.4994909,0.1664027,119.125,0,-9.33,-114.607,
4,12.644,4,3.005055,0.4967078,0.1652908,120.055,0,-9.33,-114.6071,
4,12.744,4,2.98693,0.4799803,0.1606935,119.3213,0,-9.33,-114.6073,
4,12.844,4,3.001832,0.5101717,0.1699534,118.99,0,-9.33,-114.6074,
4,12.944,4,3.001265,0.4801004,0.159966,118.8838,0,-9.33,-114.6077,
4,13.044,4,3.002975,0.4914892,0.1636674,119.2237,0,-9.33,-114.6076,
4,13.144,4,3.00673,0.5048751,0.167915,119.915,0,-9.33,-114.6075,
4,13.244,4,2.988732,0.4796783,0.1604956,119.44,0,-9.33,-114.6075,
4,13.344,4,3.004188,0.5058039,0.1683663,119.2113,0,-9.33,-114.6077,
4,13.444,4,3.004504,0.4866213,0.1619639,119.105,0,-9.33,-114.6078,
4,13.544,4,3.006259,0.4950029,0.1646574,119.08,0,-9.33,-114.6079,
4,13.644,4,3.008006,0.498627,0.1657667,119.9287,0,-9.33,-114.6078,
4,13.744,4,2.990392,0.4817501,0.1610993,119.1975,0,-9.33,-114.6077,
4,13.844,4,3.003922,0.5078433,0.1690601,119.2275,0,-9.33,-114.6077,
4,13.944,4,3.004622,0.4902292,0.1631584,118.935,0,-9.33,-114.6077,
4,14.044,4,3.002522,0.4920737,0.1638868,119.3538,0,-9.33,-114.6075,
4,14.144,4,3.007978,0.5010918,0.1665876,120.005,0,-9.33,-114.6076,
4,14.244,4,2.990633,0.4805096,0.1606715,119.14,0,-9.33,-114.6077,
4,14.344,4,3.002628,0.5026408,0.1674003,118.995,0,-9.33,-114.6077,
4,14.444,4,3.004566,0.4897063,0.1629874,118.9925,0,-9.33,-114.6075,
4,14.544,4,3.003516,0.490424,0.1632833,119.765,0,-9.33,-114.6073,
4,14.644,4,3.004665,0.5064273,0.168547,119.84,0,-9.33,-114.6073,
4,14.744,4,2.987915,0.486696,0.1628882,119.1963,0,-9.33,-114.607,
4,14.844,4,3.001779,0.509402,0.1697,119.1537,0,-9.33,-114.6069,
4,14.944,4,3.002721,0.4836726,0.1610781,119.06,0,-9.33,-114.6068,
4,15.044,4,2.999132,0.4919665,0.1640363,119.7513,0,-9.33,-114.6069,
4,15.144,4,3.003739,0.5007768,0.1667178,120.0562,0,-9.33,-114.6069,
4,15.244,4,2.985943,0.4835362,0.1619375,119.265,0,-9.33,-114.6069,
4,15.344,4,2.999318,0.5027545,0.167623,118.9487,0,-9.33,-114.6072,
4,15.444,4,3.000414,0.4956686,0.1652001,118.8825,0,-9.33,-114.6072,
4,15.544,4,3.001083,0.4888133,0.162879,119.9025,0,-9.33,-114.6072,
4,15.644,4,3.005455,0.5032189,0.1674352,119.6675,0,-9.33,-114.6074,
4,15.744,4,2.987618,0.4807726,0.1609217,119.0913,0,-9.33,-114.6075,
4,15.844,4,3.00229,0.5042971,0.1679708,119.3375,0,-9.33,-114.6076,
4,15.944,4,3.001485,0.4935351,0.1644303,118.9925,0,-9.33,-114.6076,
4,16.044,4,3.00095,0.4866115,0.1621525,119.7562,0,-9.33,-114.6075,
4,16.144,4,3.006232,0.5039106,0.167622,119.8213,0,-9.33,-114.6074,
4,16.244,4,2.988516,0.4810162,0.1609549,119.1425,0,-9.33,-114.6073,
4,16.344,4,2.999838,0.5044237,0.1681503,119.1625,0,-9.33,-114.6071,
4,16.444,4,3.001817,0.4920315,0.1639113,118.86,0,-9.33,-114.6072,
4,16.544,4,3.000597,0.4889497,0.1629508,119.6262,0,-9.33,-114.6072,
