Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,19.908,4,2.992451,0.6271312,0.2095711,477.67,0,-9.33,-114.5764,
4,20.008,4,2.993218,0.634675,0.2120377,477.7137,0,-9.33,-114.5765,
4,20.108,4,2.991807,0.6287842,0.2101687,477.3862,0,-9.33,-114.5765,
4,20.208,4,2.993909,0.6336748,0.2116547,477.1325,0,-9.33,-114.5763,
4,20.308,4,2.993937,0.6303722,0.2105496,477.4837,0,-9.33,-114.5763,
4,20.408,4,2.992968,0.6302098,0.2105635,477.5825,0,-9.33,-114.5766,
4,20.508,4,2.993104,0.6309015,0.210785,477.1687,0,-9.33,-114.5767,
4,20.608,4,2.993556,0.6272059,0.2095187,477.0638,0,-9.33,-114.5768,
4,20.708,4,2.994699,0.6338047,0.2116422,477.6938,0,-9.33,-114.5771,
4,20.808,4,2.998265,0.6284367,0.2096001,477.7625,0,-9.33,-114.5771,
4,20.908,4,2.995175,0.6288849,0.209966,477.2538,0,-9.33,-114.5771,
4,21.008,4,2.996953,0.6325219,0.211055,477.48,0,-9.33,-114.5773,
4,21.108,4,2.996819,0.627745,0.2094704,477.5737,0,-9.33,-114.5775,
4,21.208,4,2.999556,0.6319894,0.2106943,477.4812,0,-9.33,-114.5774,
4,21.308,4,2.998073,0.6287517,0.2097186,477.1162,0,-9.33,-114.5772,
4,21.408,4,2.996284,0.6321647,0.2109829,477.795,0,-9.33,-114.5773,
4,21.508,4,2.996599,0.6379322,0.2128854,477.4712,0,-9.33,-114.5775,
4,21.608,4,2.995302,0.6310249,0.2106715,477.2662,0,-9.33,-114.5773,
4,21.708,4,2.997188,0.6393416,0.2133138,477.4337,0,-9.33,-114.5773,
4,21.808,4,2.999364,0.625514,0.2085488,477.55,0,-9.33,-114.5775,
4,21.908,4,2.998439,0.6356168,0.2119826,477.6975,0,-9.33,-114.5776,
4,22.008,4,2.999866,0.6362922,0.2121069,477.0825,0,-9.33,-114.5779,
4,22.108,4,2.999649,0.6310314,0.2103684,477.2825,0,-9.33,-114.5781,
4,22.208,4,3.003529,0.6393123,0.2128537,477.5663,0,-9.33,-114.578,
4,22.308,4,3.001287,0.6305865,0.2101054,477.6237,0,-9.33,-114.5779,
4,22.408,4,2.998798,0.6356687,0.2119745,477.1413,0,-9.33,-114.5779,
4,22.508,4,3.000374,0.6336521,0.2111911,477.7263,0,-9.33,-114.5779,
4,22.608,4,2.999491,0.6315348,0.2105473,477.4475,0,-9.33,-114.5781,
4,22.708,4,3.00212,0.6350679,0.2115398,477.0375,0,-9.33,-114.5782,
4,22.808,4,3.000974,0.6272384,0.2090116,477.9538,0,-9.33,-114.578,
4,22.908,4,3.000795,0.6335416,0.2111246,477.6963,0,-9.33,-114.578,
4,23.008,4,2.999247,0.6330123,0.2110571,477.4375,0,-9.33,-114.5778,
4,23.108,4,2.999702,0.6323726,0.2108118,477.3138,0,-9.33,-114.5778,
4,23.208,4,3.001101,0.6376659,0.2124773,477.2575,0,-9.33,-114.5775,
4,23.308,4,2.997804,0.627995,0.209485,477.875,0,-9.33,-114.5775,
4,23.408,4,2.998488,0.6374938,0.2126051,477.4225,0,-9.33,-114.5776,
4,23.508,4,2.997222,0.6308268,0.2104705,477.0537,0,-9.33,-114.5776,
4,23.608,4,2.999448,0.6307294,0.2102818,477.765,0,-9.33,-114.5778,
