Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),
4,9.948,4,3.007291,0.3954301,0.1314905,119.2463,19.57875,-9.33,0,-116.3758,25.1,
4,10.048,4,3.005646,0.4127357,0.1373201,119.6925,19.76875,-9.33,0,-116.3757,25.1,
4,10.148,4,3.000872,0.4150316,0.1383037,119.7787,19.96,-9.33,0,-116.3755,25.1,
4,10.248,4,2.997646,0.39682,0.1323772,119.2862,20.15,-9.33,0,-116.3753,25.1,
4,10.348,4,3.015904,0.423358,0.1403752,119.0487,20.38875,-9.33,0,-116.3753,25.1,
4,10.448,4,2.996773,0.4242835,0.1415801,119.05,20.58375,-9.33,0,-116.3751,25.1,
4,10.548,4,2.993457,0.4231047,0.1413432,119.8412,20.77125,-9.33,0,-116.3751,25.1,
4,10.648,4,2.992745,0.4251831,0.1420713,119.4225,20.96375,-9.33,0,-116.3751,25.1,
4,10.748,4,2.986098,0.4137132,0.1385464,119.3538,21.155,-9.33,0,-116.375,25.1,
4,10.848,4,3.003752,0.4289923,0.1428188,119.1925,21.34375,-9.33,0,-116.3751,25.1,
4,10.948,4,3.003888,0.4150479,0.1381702,119.2125,21.58,-9.33,0,-116.375,25.1,
4,11.048,4,3.003891,0.4242576,0.141236,119.7213,21.77125,-9.33,0,-116.375,25.1,
4,11.148,4,3.005656,0.4260794,0.1417592,119.42,21.9625,-9.33,0,-116.375,25.1,
4,11.248,4,3.0066,0.3971967,0.1321083,119.2412,22.1525,-9.33,0,-116.375,25.1,
4,11.348,4,3.04907,0.4325807,0.141873,118.79,22.34875,-9.33,0,-116.375,25.1,
4,11.448,4,3.022753,0.3997947,0.1322618,119.1212,22.54125,-9.33,0,-116.3747,25.1,
4,11.548,4,3.004863,0.4101702,0.1365021,119.825,22.7325,-9.33,0,-116.3746,25.1,
4,11.648,4,3.005523,0.4210036,0.1400767,119.2525,22.9675,-9.33,0,-116.3746,25.1,
4,11.748,4,2.997894,0.3998109,0.1333639,119.4912,23.16,-9.33,0,-116.3745,25.1,
4,11.848,4,3.017065,0.4212894,0.1396355,118.82,23.35375,-9.33,0,-116.3744,25.1,
4,11.948,4,3.013901,0.3941084,0.1307636,119.7688,23.5425,-9.33,0,-116.3742,25.1,
4,12.048,4,3.012579,0.4040228,0.134112,119.9475,23.735,-9.33,0,-116.3739,25.1,
4,12.148,4,2.99768,0.4272744,0.142535,119.39,23.97125,-9.33,0,-116.3739,25.1,
4,12.248,4,2.998262,0.3944072,0.1315452,119.2762,24.1625,-9.33,0,-116.3738,25.1,
4,12.348,4,3.015049,0.416087,0.1380034,118.6987,24.35125,-9.33,0,-116.3739,25.1,
4,12.448,4,3.007486,0.3915429,0.1301894,119.6663,24.5425,-9.33,0,-116.3739,25.1,
4,12.548,4,3.00052,0.4000382,0.133323,119.4925,24.73375,-9.33,0,-116.3739,25.1,
4,12.648,4,2.992723,0.42807,0.1430369,119.1687,24.9275,-9.33,0,-116.3739,25.1,
4,12.748,4,2.985039,0.3913091,0.1310901,119.3825,25.16375,-9.33,0,-116.3741,25.1,
4,12.848,4,3.004284,0.4163663,0.1385908,118.8575,25.35375,-9.33,0,-116.3744,25.1,
4,12.948,4,3.004733,0.3890846,0.1294906,119.7237,25.54625,-9.33,0,-116.3745,25,
4,13.048,4,3.000349,0.3979306,0.1326281,119.6912,25.73875,-9.33,0,-116.3748,25,
4,13.148,4,2.995566,0.4224098,0.1410117,119.4175,25.93,-9.33,0,-116.3747,25,
4,13.248,4,2.991491,0.400272,0.1338035,119.455,26.12625,-9.33,0,-116.3747,25,
4,13.348,4,3.006907,0.4138625,0.1376373,119.115,26.31625,-9.33,0,-116.3748,25,
4,13.448,4,3.005445,0.3933907,0.1308927,119.595,26.55,-9.33,0,-116.3746,25,
4,13.548,4,3.000758,0.3931699,0.1310235,119.5137,26.74,-9.33,0,-116.3746,25,
4,13.648,4,2.997089,0.4168144,0.1390731,119.2813,26.93625,-9.33,0,-116.3749,25,
4,13.748,4,2.99189,0.3940337,0.1317006,119.005,27.125,-9.33,0,-116.3749,25,
4,13.848,4,3.008346,0.4102644,0.1363754,119.0075,27.3125,-9.33,0,-116.3749,25,
4,13.948,4,3.007634,0.4033214,0.1340992,119.7663,27.54875,-9.33,0,-116.3748,25,
4,14.048,4,3.002303,0.4028895,0.1341935,119.5212,27.74,-9.33,0,-116.3747,25.1,
4,14.148,4,2.992284,0.4254331,0.1421767,119.46,27.93125,-9.33,0,-116.3744,25.1,
4,14.248,4,2.985633,0.3904875,0.1307888,118.9812,28.12125,-9.33,0,-116.3744,25.1,
4,14.348,4,3.004003,0.4151225,0.1381898,118.9875,28.30875,-9.33,0,-116.3745,25.1,
4,14.448,4,3.006371,0.4011034,0.1334178,119.785,28.5475,-9.33,0,-116.3745,25.1,
4,14.548,4,3.002495,0.4025712,0.1340789,119.3838,28.73875,-9.33,0,-116.3745,25.1,
4,14.648,4,2.99529,0.4282324,0.1429686,119.295,28.9275,-9.33,0,-116.3745,25.1,
4,14.748,4,2.987763,0.4066078,0.136091,118.9688,29.115,-9.33,0,-116.3743,25.1,
4,14.848,4,3.004102,0.421533,0.1403191,118.91,29.30875,-9.33,0,-116.3743,25.1,
4,14.948,4,3.004489,0.4068936,0.1354285,119.6387,29.49875,-9.33,0,-116.3742,25.1,
4,15.048,4,2.99842,0.3944948,0.1315676,119.6787,29.73625,-9.33,0,-116.3741,25.1,
4,15.148,4,2.995005,0.4252155,0.1419749,119.535,29.92625,-9.33,0,-116.3739,25.1,
4,15.248,4,2.990745,0.40564,0.1356318,119.1063,30.12,-9.33,0,-116.3739,25.1,
4,15.348,4,3.005801,0.4272907,0.1421553,119.3587,30.3125,-9.33,0,-116.374,25.1,
4,15.448,4,3.005061,0.4231112,0.1407995,119.5575,30.50375,-9.33,0,-116.374,25.1,
4,15.548,4,3.001123,0.4110373,0.1369611,119.6813,30.6925,-9.33,0,-116.374,25.1,
4,15.648,4,2.995773,0.4318111,0.1441401,119.2537,30.9275,-9.33,0,-116.3741,25.1,
4,15.748,4,2.991157,0.4086374,0.1366152,118.765,31.12125,-9.33,0,-116.374,25.1,
4,15.848,4,3.003851,0.4215947,0.1403514,119.4662,31.30875,-9.33,0,-116.3742,25.1,
4,15.948,4,3.001386,0.4345552,0.1447848,119.4875,31.49875,-9.33,0,-116.3744,25.1,
4,16.048,4,2.989887,0.4253195,0.1422527,119.535,31.68875,-9.33,0,-116.3747,25.1,
4,16.148,4,2.988562,0.4357859,0.1458179,119.4312,31.8825,-9.33,0,-116.3748,25.1,
4,16.248,4,2.987299,0.4100435,0.1372623,119.0137,32.12125,-9.33,0,-116.3748,25.1,
4,16.348,4,3.001002,0.4311389,0.143665,119.5025,32.3125,-9.33,0,-116.3747,25,
4,16.448,4,3.001362,0.4269497,0.142252,119.6488,32.5025,-9.33,0,-116.3749,25,
4,16.548,4,2.999875,0.4238939,0.1413038,119.3612,32.69375,-9.33,0,-116.3751,25,
4,16.648,4,2.989503,0.4416021,0.1477176,119.4725,32.8825,-9.33,0,-116.3749,25,
4,16.748,4,2.985252,0.4071956,0.1364024,118.88,33.12,-9.33,0,-116.375,25,
4,16.848,4,2.997411,0.4183472,0.1395695,119.4137,33.3125,-9.33,0,-116.3753,25,
4,16.948,4,3.001776,0.4223611,0.1407037,119.6,33.50375,-9.33,0,-116.3751,25,
4,17.048,4,2.997637,0.4114854,0.1372699,119.4888,33.6925,-9.33,0,-116.3751,25,
4,17.148,4,2.992562,0.4361529,0.1457456,119.3175,33.88125,-9.33,0,-116.3753,25,
4,17.248,4,2.989163,0.4073482,0.136275,118.9063,34.07375,-9.33,0,-116.3754,25,
4,17.348,4,3.001228,0.4235204,0.1411157,119.3612,34.315,-9.33,0,-116.3756,25,
4,17.448,4,3.002981,0.4212894,0.1402904,119.73,34.5025,-9.33,0,-116.3756,25,
4,17.548,4,3.003133,0.4128461,0.1374718,119.5712,34.695,-9.33,0,-116.3755,25.1,
4,17.648,4,2.995228,0.429671,0.1434519,119.0213,34.8825,-9.33,0,-116.3753,25.1,
4,17.748,4,2.995191,0.404406,0.1350184,119.0525,35.07375,-9.33,0,-116.3754,25.1,
4,17.848,4,3.00208,0.4307135,0.1434717,119.445,35.30625,-9.33,0,-116.3755,25.1,
4,17.948,4,3.004489,0.433555,0.1443024,119.4425,35.49875,-9.33,0,-116.3756,25.1,
4,18.048,4,3.000996,0.4130117,0.1376249,119.5238,35.69,-9.33,0,-116.3756,25.1,
4,18.148,4,2.994312,0.4370882,0.1459728,119.2663,35.88,-9.33,0,-116.3756,25.1,
4,18.248,4,2.992237,0.4112906,0.1374525,118.8475,36.07,-9.33,0,-116.3757,25.1,
4,18.348,4,3.004483,0.4310414,0.1434661,119.5325,36.26,-9.33,0,-116.3759,25.1,
4,18.448,4,3.00703,0.4401148,0.1463619,119.5687,36.5,-9.33,0,-116.3759,25.1,
4,18.548,4,3.005677,0.4201041,0.1397702,119.445,36.68875,-9.33,0,-116.3758,25.1,
4,18.648,4,2.998618,0.4418586,0.1473541,119.28,36.87875,-9.33,0,-116.3756,25.1,
4,18.748,4,2.993463,0.4031233,0.1346678,119.225,37.07125,-9.33,0,-116.3754,25.1,
4,18.848,4,2.999996,0.4207179,0.1402395,119.4825,37.26375,-9.33,0,-116.3754,25.1,
4,18.948,4,3.007083,0.4310512,0.1433453,119.62,37.45375,-9.33,0,-116.3754,25.1,
4,19.048,4,3.001783,0.4168534,0.1388686,119.4637,37.68875,-9.33,0,-116.3753,25.1,
4,19.148,4,2.994306,0.4387736,0.146536,119.265,37.87875,-9.33,0,-116.3753,25.1,
4,19.248,4,2.994219,0.4200391,0.1402834,119.2363,38.0725,-9.33,0,-116.3753,25.1,
4,19.348,4,3.002009,0.4315838,0.143765,119.6175,38.26375,-9.33,0,-116.3755,25.1,
4,19.448,4,3.005857,0.4204158,0.1398655,119.6075,38.4575,-9.33,0,-116.3755,25.1,
4,19.548,4,3.004167,0.3988789,0.1327752,119.3213,38.65125,-9.33,0,-116.3755,25.1,
4,19.648,4,2.995652,0.4273524,0.1426575,119.2587,38.8875,-9.33,0,-116.3755,25,
4,19.748,4,2.995872,0.4062181,0.1355926,119.1912,39.07875,-9.33,0,-116.3753,25,
4,19.848,4,3.001845,0.4105956,0.1367811,119.7112,39.2725,-9.33,0,-116.3755,25,
4,19.948,4,3.012523,0.4271738,0.1417993,119.3525,39.46375,-9.33,0,-116.3756,25,
4,20.048,4,3.008244,0.4108327,0.1365689,119.3975,39.655,-9.33,0,-116.3755,25,
4,20.148,4,3.001776,0.4385105,0.1460837,119.4013,39.84875,-9.33,0,-116.3755,25,
4,20.248,4,3.00264,0.4277031,0.1424423,119.0437,40.04125,-9.33,0,-116.3756,25,
4,20.348,4,3.007399,0.4339836,0.1443053,119.7462,40.2775,-9.33,0,-116.3756,25,
4,20.448,4,3.009919,0.4518673,0.150126,119.33,40.4675,-9.33,0,-116.3756,25,
4,20.548,4,2.992018,0.4365426,0.1459024,119.3962,40.65875,-9.33,0,-116.3755,25,
4,20.648,4,2.98441,0.4325418,0.1449337,118.9837,40.85125,-9.33,0,-116.3755,25,
4,20.748,4,2.984674,0.4074131,0.1365017,118.9825,41.04375,-9.33,0,-116.3756,25.1,
4,20.848,4,2.990265,0.419,0.1401213,119.7787,41.23625,-9.33,0,-116.3758,25.1,
4,20.948,4,3.002876,0.419643,0.139747,119.2575,41.475,-9.33,0,-116.3757,25.1,
4,21.048,4,2.998411,0.4105664,0.136928,119.4788,41.66625,-9.33,0,-116.3756,25.1,
4,21.148,4,2.990262,0.4290443,0.1434805,118.8825,41.85375,-9.33,0,-116.3756,25.1,
4,21.248,4,2.989757,0.4137132,0.1383768,119.6237,42.04875,-9.33,0,-116.3754,25.1,
4,21.348,4,2.993553,0.4188344,0.1399121,119.7712,42.24125,-9.33,0,-116.3755,25.1,
4,21.448,4,3.009009,0.4262125,0.1416455,119.1938,42.4325,-9.33,0,-116.3755,25.1,
4,21.548,4,3.003554,0.4099981,0.1365043,119.4487,42.67,-9.33,0,-116.3755,25.1,
4,21.648,4,2.996371,0.432256,0.1442599,119.0225,42.86125,-9.33,0,-116.3756,25.1,
4,21.748,4,2.993445,0.4165644,0.1391589,119.4112,43.055,-9.33,0,-116.3755,25.1,
4,21.848,4,2.997962,0.4237802,0.1413561,119.5562,43.24875,-9.33,0,-116.3755,25.1,
4,21.948,4,3.012681,0.4385788,0.1455776,119.3913,43.4375,-9.33,0,-116.3756,25,
4,22.048,4,3.005092,0.4268977,0.1420581,119.53,43.6275,-9.33,0,-116.3756,25,
4,22.148,4,2.998795,0.4328925,0.1443555,119.2125,43.8675,-9.33,0,-116.3756,25,
4,22.248,4,2.996374,0.4259138,0.1421431,119.3812,44.06,-9.33,0,-116.3755,25,
4,22.348,4,2.998176,0.4415859,0.1472849,119.5012,44.2475,-9.33,0,-116.3757,25,
4,22.448,4,3.012938,0.455618,0.1512205,119.3913,44.44,-9.33,0,-116.3759,25,
4,22.548,4,2.995652,0.4108359,0.1371441,119.1162,44.63125,-9.33,0,-116.3758,25,
4,22.648,4,2.986924,0.4240887,0.1419817,118.895,44.82,-9.33,0,-116.3758,25,
