Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,12.755,4,0.139567,1.255143,8.993117,477.2162,100.5212,-9.33,-117.2063,0,25.8,
4,12.855,4,0.1407342,1.26623,8.997313,477.285,101.4925,-9.33,-117.2065,0,25.8,
4,12.955,4,0.1413697,1.271741,8.995852,477.4387,102.2575,-9.33,-117.2068,0,25.8,
4,13.055,4,0.1393132,1.252941,8.993703,477.7375,103.0225,-9.33,-117.2068,0,25.8,
4,13.155,4,0.1418769,1.276754,8.999031,477.7625,103.805,-9.33,-117.207,0,25.8,
4,13.255,4,0.1397245,1.25727,8.998204,477.1587,104.5675,-9.33,-117.207,0,25.8,
4,13.355,4,0.1415562,1.273894,8.999205,477.6938,105.3362,-9.33,-117.2071,0,25.8,
4,13.455,4,0.1417014,1.27478,8.996244,477.6162,106.0925,-9.33,-117.2071,0,25.8,
4,13.555,4,0.1416313,1.273481,8.991523,477.0375,107.0525,-9.33,-117.2071,0,25.8,
4,13.655,4,0.142563,1.282658,8.99713,477.5663,107.8275,-9.33,-117.2071,0,25.8,
4,13.755,4,0.1402149,1.26144,8.996474,477.6675,108.585,-9.33,-117.207,0,25.9,
4,13.855,4,0.1420861,1.278749,8.999811,477.7162,109.36,-9.33,-117.207,0,25.9,
4,13.955,4,0.141746,1.27491,8.994328,477.2438,110.1325,-9.33,-117.2069,0,25.9,
4,14.055,4,0.1417915,1.27527,8.993981,477.5675,110.8838,-9.33,-117.2068,0,25.9,
4,14.155,4,0.1418562,1.276287,8.997046,477.5113,111.6475,-9.33,-117.2066,0,25.9,
4,14.255,4,0.1401871,1.260907,8.994455,477.2825,112.6313,-9.33,-117.2065,0,25.9,
4,14.355,4,0.1420703,1.278015,8.99565,477.3838,113.3912,-9.33,-117.2066,0,25.9,
4,14.455,4,0.14215,1.278411,8.993393,477.5675,114.1862,-9.33,-117.2066,0,25.9,
4,14.555,4,0.1420726,1.277193,8.989718,477.6187,114.9425,-9.33,-117.2067,0,25.9,
4,14.655,4,0.1439217,1.29444,8.994059,477.3975,115.695,-9.33,-117.2067,0,25.9,
4,14.755,4,0.1407163,1.265535,8.993517,477.8475,116.46,-9.33,-117.2064,0,25.9,
4,14.855,4,0.1435024,1.29081,8.995037,477.5438,117.4162,-9.33,-117.2066,0,25.9,
4,14.955,4,0.1413629,1.270834,8.98987,477.4538,118.1888,-9.33,-117.2066,0,25.9,
4,15.055,4,0.142595,1.281898,8.989786,477.1463,118.9425,-9.33,-117.2066,0,25.9,
4,15.155,4,0.1424466,1.281324,8.995118,477.345,119.7075,-9.33,-117.2066,0,25.9,
4,15.255,4,0.142463,1.281519,8.995449,477.88,120.4638,-9.33,-117.2065,0,25.9,
4,15.355,4,0.1446511,1.301136,8.994997,477.2612,121.23,-9.33,-117.2064,0,25.9,
4,15.455,4,0.1424216,1.280661,8.992046,477.235,122.18,-9.33,-117.2065,0,25.9,
4,15.555,4,0.1430699,1.286289,8.990635,477.735,122.9463,-9.33,-117.2066,0,25.9,
4,15.655,4,0.1441826,1.296905,8.99488,477.4637,123.715,-9.33,-117.2068,0,25.9,
4,15.755,4,0.1406399,1.265434,8.997687,477.3788,124.495,-9.33,-117.2069,0,25.9,
4,15.855,4,0.145108,1.306241,9.001858,477.585,125.2725,-9.33,-117.2068,0,25.9,
4,15.955,4,0.1411427,1.26924,8.992603,477.4312,126.0425,-9.33,-117.2069,0,25.9,
4,16.055,4,0.1437568,1.292917,8.993777,477.295,126.815,-9.33,-117.2069,0,25.9,
4,16.155,4,0.1435881,1.291943,8.997563,477.5425,127.7675,-9.33,-117.2069,0,25.9,
4,16.255,4,0.1426995,1.284013,8.998019,477.6437,128.53,-9.33,-117.207,0,25.9,
4,16.355,4,0.143045,1.286763,8.995514,477.7,129.2813,-9.33,-117.2068,0,25.9,
4,16.455,4,0.1410948,1.268763,8.992272,477.4987,130.0387,-9.33,-117.2066,0,25.9,
4,16.555,4,0.144185,1.296502,8.991938,477.405,130.8225,-9.33,-117.2065,0,25.9,
4,16.655,4,0.1422509,1.279171,8.992353,477.75,131.5963,-9.33,-117.2065,0,25.9,
4,16.755,4,0.1423921,1.281015,8.99639,477.5963,132.3613,-9.33,-117.2065,0,25.9,
4,16.855,4,0.1437166,1.292709,8.994852,477,133.3362,-9.33,-117.2066,0,25.9,
4,16.955,4,0.1419967,1.276543,8.98995,477.8888,134.11,-9.33,-117.2068,0,25.9,
4,17.055,4,0.1446067,1.300652,8.994411,477.5025,134.8675,-9.33,-117.2071,0,25.9,
4,17.155,4,0.1413431,1.271789,8.997886,477.6275,135.625,-9.33,-117.2072,0,25.8,
4,17.255,4,0.141736,1.275309,8.997784,477.4588,136.3925,-9.33,-117.2071,0,25.8,
4,17.355,4,0.1429446,1.28627,8.998378,477.4312,137.1612,-9.33,-117.2073,0,25.8,
4,17.455,4,0.139802,1.257377,8.993984,477.605,137.9237,-9.33,-117.2073,0,25.8,
4,17.555,4,0.1444678,1.299808,8.997217,477.3212,138.8712,-9.33,-117.2072,0,25.8,
4,17.655,4,0.1426932,1.283532,8.995047,477.3125,139.6387,-9.33,-117.207,0,25.8,
4,17.755,4,0.1434598,1.290982,8.998911,477.8175,140.4137,-9.33,-117.207,0,25.8,
4,17.855,4,0.1442237,1.297665,8.997585,477.6337,141.1787,-9.33,-117.2072,0,25.8,
4,17.955,4,0.1411351,1.270013,8.998564,477.1962,141.9425,-9.33,-117.2072,0,25.8,
4,18.055,4,0.1429011,1.286386,9.001936,477.8812,142.7125,-9.33,-117.2074,0,25.8,
4,18.155,4,0.1422163,1.280544,9.004205,477.7025,143.6525,-9.33,-117.2077,0,25.8,
4,18.255,4,0.1437908,1.294755,9.004435,477.5362,144.4175,-9.33,-117.2078,0,25.8,
4,18.355,4,0.1436494,1.293008,9.00114,477.1975,145.19,-9.33,-117.2076,0,25.8,
4,18.455,4,0.1437195,1.292829,8.995502,477.29,145.9575,-9.33,-117.2076,0,25.8,
4,18.555,4,0.1463612,1.317315,9.000437,477.6375,146.7162,-9.33,-117.2077,0,25.8,
4,18.655,4,0.143328,1.290212,9.001815,477.225,147.4887,-9.33,-117.208,0,25.8,
4,18.755,4,0.1451589,1.307394,9.006644,477.3337,148.4487,-9.33,-117.2081,0,25.8,
4,18.855,4,0.1439503,1.295999,9.003099,477.59,149.215,-9.33,-117.208,0,25.8,
