Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),XYZ.Z Position (mm),XYZ.Y Position (mm),XYZ.X Position (mm),
4,8.903,4,0.1487944,1.337891,8.991542,119.5625,-115.3848,-9.33,0,
4,9.003,4,0.1466797,1.320105,8.999914,119.24,-115.3849,-9.33,0,
4,9.103,4,0.1439942,1.294911,8.992803,119.4337,-115.3847,-9.33,0,
4,9.203,4,0.1540606,1.38353,8.980427,119.07,-115.3845,-9.33,0,
4,9.303,4,0.1447566,1.301156,8.988576,119.7738,-115.3846,-9.33,0,
4,9.403,4,0.1470173,1.322397,8.994843,119.175,-115.3847,-9.33,0,
4,9.503,4,0.1489516,1.340109,8.996939,119.115,-115.3846,-9.33,0,
4,9.603,4,0.1437452,1.292683,8.992877,118.9037,-115.3846,-9.33,0,
4,9.703,4,0.1542413,1.385083,8.979975,119.3225,-115.3846,-9.33,0,
4,9.803,4,0.1445748,1.299327,8.987235,119.7513,-115.3846,-9.33,0,
4,9.903,4,0.1488899,1.338358,8.988911,119.2838,-115.3846,-9.33,0,
4,10.003,4,0.1494598,1.344912,8.998487,119.26,-115.3848,-9.33,0,
4,10.103,4,0.1440309,1.295008,8.991183,119.17,-115.3848,-9.33,0,
4,10.203,4,0.1544373,1.387297,8.982913,119.1938,-115.3846,-9.33,0,
4,10.303,4,0.1454571,1.306534,8.98226,119.9238,-115.3845,-9.33,0,
4,10.403,4,0.1481806,1.33239,8.99166,119.5175,-115.3846,-9.33,0,
4,10.503,4,0.1494479,1.344129,8.993963,119.4025,-115.3846,-9.33,0,
4,10.603,4,0.1436619,1.291741,8.991539,119.2437,-115.3845,-9.33,0,
4,10.703,4,0.1544852,1.387018,8.978325,119.5863,-115.3843,-9.33,0,
4,10.803,4,0.1450986,1.303507,8.983594,119.5337,-115.3844,-9.33,0,
4,10.903,4,0.1474273,1.324953,8.987164,119.1862,-115.3843,-9.33,0,
4,11.003,4,0.1499288,1.348396,8.993576,119.4,-115.3842,-9.33,0,
4,11.103,4,0.1434961,1.289679,8.987557,119.1288,-115.3841,-9.33,0,
4,11.203,4,0.1545566,1.387869,8.979681,119.525,-115.3839,-9.33,0,
4,11.303,4,0.1450814,1.302786,8.979691,119.6862,-115.384,-9.33,0,
4,11.403,4,0.1478283,1.328892,8.989428,119.1375,-115.3842,-9.33,0,
4,11.503,4,0.1500757,1.349432,8.991675,119.395,-115.3844,-9.33,0,
4,11.603,4,0.142845,1.283694,8.986623,119.1775,-115.3842,-9.33,0,
4,11.703,4,0.1544361,1.386437,8.977411,119.46,-115.3842,-9.33,0,
4,11.803,4,0.146069,1.312041,8.982341,119.7375,-115.3845,-9.33,0,
4,11.903,4,0.1480271,1.330675,8.9894,119.3388,-115.3848,-9.33,0,
4,12.003,4,0.1508885,1.357362,8.995799,119.215,-115.3848,-9.33,0,
4,12.103,4,0.1436732,1.291748,8.990876,119.0713,-115.385,-9.33,0,
4,12.203,4,0.1542274,1.385229,8.98173,119.7975,-115.3849,-9.33,0,
4,12.303,4,0.146461,1.315406,8.981269,119.5825,-115.3849,-9.33,0,
4,12.403,4,0.1473464,1.325041,8.992694,119.13,-115.3853,-9.33,0,
4,12.503,4,0.1511707,1.359882,8.995672,119.4812,-115.3853,-9.33,0,
4,12.603,4,0.1441661,1.296165,8.990771,119.03,-115.3851,-9.33,0,
4,12.703,4,0.1538661,1.382079,8.982349,119.6412,-115.385,-9.33,0,
4,12.803,4,0.1459523,1.311405,8.985161,119.5775,-115.3851,-9.33,0,
4,12.903,4,0.1458382,1.311476,8.992682,119.2138,-115.3851,-9.33,0,
4,13.003,4,0.1494021,1.344304,8.997895,119.3375,-115.3851,-9.33,0,
4,13.103,4,0.1422945,1.279742,8.99362,119.0888,-115.3853,-9.33,0,
4,13.203,4,0.149767,1.34597,8.987096,119.5638,-115.3851,-9.33,0,
4,13.303,4,0.1451684,1.30427,8.984529,119.5313,-115.3851,-9.33,0,
4,13.403,4,0.1457759,1.311359,8.995722,119.2862,-115.3853,-9.33,0,
4,13.503,4,0.150689,1.355654,8.996369,119.2862,-115.3853,-9.33,0,
4,13.603,4,0.1437381,1.292576,8.992577,119.26,-115.3852,-9.33,0,
4,13.703,4,0.1525965,1.370885,8.983722,119.875,-115.3851,-9.33,0,
4,13.803,4,0.1480856,1.330552,8.985016,119.5012,-115.3852,-9.33,0,
4,13.903,4,0.1465002,1.31737,8.992276,119.2412,-115.3848,-9.33,0,
4,14.003,4,0.1499158,1.348773,8.996871,119.0313,-115.3848,-9.33,0,
4,14.103,4,0.1424467,1.281038,8.993106,119.2412,-115.385,-9.33,0,
4,14.203,4,0.1509278,1.356323,8.986573,119.7375,-115.3853,-9.33,0,
4,14.303,4,0.1475638,1.326038,8.986198,119.325,-115.3854,-9.33,0,
4,14.403,4,0.1463619,1.316633,8.995734,119.3112,-115.3854,-9.33,0,
4,14.503,4,0.1499186,1.348961,8.99796,119.1625,-115.3855,-9.33,0,
4,14.603,4,0.1425656,1.282623,8.996719,118.8625,-115.3855,-9.33,0,
4,14.703,4,0.1491702,1.340508,8.986434,119.7688,-115.3855,-9.33,0,
4,14.803,4,0.147216,1.322914,8.986208,119.1912,-115.3856,-9.33,0,
4,14.903,4,0.1458319,1.312074,8.997168,119.4788,-115.3857,-9.33,0,
4,15.003,4,0.1485608,1.337089,9.000279,119.0925,-115.3855,-9.33,0,
4,15.103,4,0.1430933,1.287575,8.998153,119.4487,-115.3857,-9.33,0,
4,15.203,4,0.1480729,1.331,8.988811,119.76,-115.3857,-9.33,0,
4,15.303,4,0.1471962,1.322884,8.98722,119.0987,-115.3857,-9.33,0,
4,15.403,4,0.1449519,1.304452,8.999208,119.1938,-115.3857,-9.33,0,
4,15.503,4,0.1482677,1.334679,9.001822,119.2075,-115.3857,-9.33,0,
4,15.603,4,0.1428053,1.285156,8.999357,119.0475,-115.3857,-9.33,0,
4,15.703,4,0.1464173,1.316097,8.988675,119.66,-115.3857,-9.33,0,
4,15.803,4,0.1465578,1.31724,8.987858,119.2437,-115.3858,-9.33,0,
4,15.903,4,0.1431568,1.28839,8.999852,119.4312,-115.3858,-9.33,0,
4,16.003,4,0.1491962,1.343096,9.002214,119.2575,-115.3858,-9.33,0,
4,16.103,4,0.1421875,1.279911,9.001574,119.6175,-115.386,-9.33,0,
4,16.203,4,0.1472656,1.324232,8.992133,119.6025,-115.386,-9.33,0,
4,16.303,4,0.1459313,1.311759,8.988876,119.1613,-115.386,-9.33,0,
4,16.403,4,0.1421573,1.279784,9.002596,119.2513,-115.3861,-9.33,0,
4,16.503,4,0.1489474,1.341109,9.003908,119.065,-115.3863,-9.33,0,
4,16.603,4,0.1433572,1.290735,9.00363,118.9825,-115.3864,-9.33,0,
4,16.703,4,0.1484867,1.335712,8.995496,119.7313,-115.3863,-9.33,0,
4,16.803,4,0.1507415,1.35507,8.989363,119.09,-115.3863,-9.33,0,
4,16.903,4,0.1449037,1.304264,9.000898,119.4238,-115.386,-9.33,0,
4,17.003,4,0.1506812,1.356544,9.002744,119.0825,-115.3859,-9.33,0,
4,17.103,4,0.141351,1.272393,9.001655,119.9012,-115.3861,-9.33,0,
4,17.203,4,0.1479,1.330298,8.994579,119.3975,-115.3863,-9.33,0,
4,17.303,4,0.1510186,1.357392,8.988242,119.1925,-115.3861,-9.33,0,
4,17.403,4,0.1441754,1.29748,8.999316,119.22,-115.386,-9.33,0,
4,17.503,4,0.1517509,1.365871,9.000744,119.0062,-115.3859,-9.33,0,
4,17.603,4,0.143996,1.295918,8.999676,119.75,-115.386,-9.33,0,
4,17.703,4,0.1486821,1.336754,8.990685,119.385,-115.3858,-9.33,0,
4,17.803,4,0.149817,1.346432,8.987177,119.2813,-115.3861,-9.33,0,
4,17.903,4,0.1459202,1.313542,9.001778,119.4238,-115.3863,-9.33,0,
4,18.003,4,0.1506859,1.356499,9.002162,119.0588,-115.3864,-9.33,0,
4,18.103,4,0.1437813,1.294629,9.004152,119.6188,-115.3864,-9.33,0,
4,18.203,4,0.1470379,1.322777,8.996164,119.4088,-115.3864,-9.33,0,
4,18.303,4,0.1491909,1.341112,8.989239,119.2513,-115.3866,-9.33,0,
4,18.403,4,0.1455678,1.310252,9.00097,119.0837,-115.3864,-9.33,0,
4,18.503,4,0.1519323,1.367754,9.002394,119.1963,-115.3863,-9.33,0,
4,18.603,4,0.1437732,1.294515,9.003868,119.6712,-115.3863,-9.33,0,
4,18.703,4,0.1474871,1.32682,8.996181,119.3075,-115.3864,-9.33,0,
4,18.803,4,0.1479724,1.330039,8.988421,119.325,-115.3865,-9.33,0,
4,18.903,4,0.1436472,1.293417,9.004122,119.17,-115.3865,-9.33,0,
4,19.003,4,0.1488666,1.340485,9.004611,118.96,-115.3865,-9.33,0,
4,19.103,4,0.1408477,1.268451,9.005831,119.8563,-115.3864,-9.33,0,
4,19.203,4,0.1441692,1.297353,8.998824,119.5763,-115.3862,-9.33,0,
4,19.303,4,0.1436386,1.291725,8.992883,119.45,-115.3862,-9.33,0,
4,19.403,4,0.1409162,1.268815,9.004035,119.0213,-115.3861,-9.33,0,
4,19.503,4,0.1458695,1.313399,9.00393,119.37,-115.3862,-9.33,0,
4,19.603,4,0.1398655,1.259602,9.005803,119.6762,-115.3864,-9.33,0,
4,19.703,4,0.1433599,1.290072,8.998837,118.8488,-115.3864,-9.33,0,
4,19.803,4,0.1462228,1.314269,8.988127,119.2337,-115.3861,-9.33,0,
4,19.903,4,0.142308,1.281009,9.001663,119.2,-115.3859,-9.33,0,
4,20.003,4,0.1482693,1.334803,9.002552,119.24,-115.386,-9.33,0,
4,20.103,4,0.1397222,1.258118,9.004422,119.9963,-115.3861,-9.33,0,
4,20.203,4,0.1439781,1.295366,8.996961,119.3112,-115.3859,-9.33,0,
4,20.303,4,0.1452967,1.305884,8.987709,119.2463,-115.386,-9.33,0,
4,20.403,4,0.1389016,1.25021,9.000691,119.2787,-115.3862,-9.33,0,
4,20.503,4,0.1486806,1.338475,9.002351,119.5662,-115.3862,-9.33,0,
4,20.603,4,0.1421644,1.279872,9.002763,119.3713,-115.3862,-9.33,0,
4,20.703,4,0.1464674,1.317361,8.994221,118.9962,-115.3863,-9.33,0,
4,20.803,4,0.1489341,1.338583,8.987749,119.1525,-115.3863,-9.33,0,
4,20.903,4,0.1440956,1.296642,8.998481,119.02,-115.3863,-9.33,0,
4,21.003,4,0.1466918,1.320342,9.000787,119.57,-115.3863,-9.33,0,
4,21.103,4,0.1431773,1.288939,9.002398,119.7412,-115.386,-9.33,0,
4,21.203,4,0.1454185,1.308203,8.996124,119.0337,-115.386,-9.33,0,
4,21.303,4,0.1494233,1.342856,8.986923,119.4063,-115.386,-9.33,0,
4,21.403,4,0.1433681,1.290192,8.999159,119.1087,-115.3859,-9.33,0,
4,21.503,4,0.1520441,1.368027,8.997564,119.8587,-115.3857,-9.33,0,
4,21.603,4,0.1455946,1.310411,9.000409,119.4675,-115.3857,-9.33,0,
4,21.703,4,0.1468762,1.320887,8.993198,119.045,-115.3857,-9.33,0,
4,21.803,4,0.1491398,1.340021,8.985,119.2363,-115.3857,-9.33,0,
4,21.903,4,0.1424257,1.281567,8.998143,118.9275,-115.3859,-9.33,0,
4,22.003,4,0.1479091,1.331389,9.001404,119.4137,-115.386,-9.33,0,
4,22.103,4,0.1454891,1.309758,9.002453,119.6463,-115.3861,-9.33,0,
4,22.203,4,0.146422,1.317068,8.995013,119.0375,-115.386,-9.33,0,
4,22.303,4,0.1509318,1.356417,8.986954,119.335,-115.3862,-9.33,0,
4,22.403,4,0.1454511,1.308933,8.999131,119.1263,-115.3864,-9.33,0,
4,22.503,4,0.1481822,1.333884,9.001648,119.8737,-115.3865,-9.33,0,
4,22.603,4,0.1428062,1.28624,9.006896,119.5337,-115.3868,-9.33,0,
4,22.703,4,0.1449792,1.304618,8.998651,119.2813,-115.3868,-9.33,0,
4,22.803,4,0.1521347,1.367686,8.989969,119.2412,-115.387,-9.33,0,
4,22.903,4,0.1448278,1.303838,9.002682,118.9975,-115.387,-9.33,0,
4,23.003,4,0.1519009,1.367754,9.004255,119.6338,-115.387,-9.33,0,
4,23.103,4,0.1481974,1.334731,9.006441,119.36,-115.3867,-9.33,0,
4,23.203,4,0.1482793,1.334341,8.998839,119.0913,-115.3867,-9.33,0,
4,23.303,4,0.1527447,1.373291,8.990762,119.2038,-115.3866,-9.33,0,
4,23.403,4,0.1464374,1.317844,8.99937,119.0413,-115.3863,-9.33,0,
4,23.503,4,0.1521318,1.369313,9.000834,120.0725,-115.3863,-9.33,0,
4,23.603,4,0.1495473,1.346513,9.003923,119.415,-115.386,-9.33,0,
4,23.703,4,0.1488659,1.338992,8.994614,119.2675,-115.3859,-9.33,0,
4,23.803,4,0.1524807,1.370404,8.987393,119.1537,-115.386,-9.33,0,
4,23.903,4,0.1474763,1.327291,9.000031,119.2425,-115.3861,-9.33,0,
4,24.003,4,0.1499074,1.349484,9.002115,119.7688,-115.3862,-9.33,0,
4,24.103,4,0.1472307,1.325853,9.005271,119.3275,-115.3861,-9.33,0,
4,24.203,4,0.1463003,1.316334,8.99748,119.6587,-115.386,-9.33,0,
4,24.303,4,0.1492577,1.341911,8.990563,119.0713,-115.386,-9.33,0,
4,24.403,4,0.1440705,1.296863,9.001586,119.4038,-115.3862,-9.33,0,
4,24.503,4,0.1473189,1.326294,9.002877,119.9225,-115.3863,-9.33,0,
4,24.603,4,0.1436551,1.293937,9.007246,119.1988,-115.3865,-9.33,0,
4,24.703,4,0.1424237,1.281834,9.000143,119.3637,-115.3867,-9.33,0,
4,24.803,4,0.1515915,1.362795,8.98992,119.2412,-115.3867,-9.33,0,
4,24.903,4,0.1448921,1.304013,8.999892,119.6375,-115.3869,-9.33,0,
4,25.003,4,0.1478872,1.331851,9.005853,119.7075,-115.3872,-9.33,0,
4,25.103,4,0.1480214,1.333666,9.009955,119.14,-115.387,-9.33,0,
4,25.203,4,0.1440393,1.29647,9.000809,119.1963,-115.3869,-9.33,0,
4,25.303,4,0.1504495,1.352933,8.992604,119.0325,-115.3867,-9.33,0,
4,25.403,4,0.1460792,1.315149,9.002986,119.3787,-115.3865,-9.33,0,
4,25.503,4,0.1495846,1.346698,9.002917,119.8162,-115.3865,-9.33,0,
4,25.603,4,0.1471319,1.325372,9.008054,119.3187,-115.3865,-9.33,0,
4,25.703,4,0.1445469,1.300857,8.999552,119.3838,-115.3865,-9.33,0,
4,25.803,4,0.1496179,1.344769,8.988022,119.025,-115.3865,-9.33,0,
4,25.903,4,0.1447736,1.302981,9.000131,119.3,-115.3865,-9.33,0,
4,26.003,4,0.1485286,1.337322,9.003806,119.42,-115.3866,-9.33,0,
4,26.103,4,0.1485926,1.338297,9.006484,119.2337,-115.3868,-9.33,0,
4,26.203,4,0.1466676,1.320199,9.001295,119.2387,-115.387,-9.33,0,
4,26.303,4,0.1536708,1.381712,8.991372,118.9087,-115.3871,-9.33,0,
4,26.403,4,0.1452191,1.307482,9.003509,119.6687,-115.387,-9.33,0,
4,26.503,4,0.1501869,1.352254,9.003812,119.635,-115.3867,-9.33,0,
4,26.603,4,0.1465807,1.320244,9.006943,119.2,-115.3867,-9.33,0,
4,26.703,4,0.1451055,1.30591,8.999725,119.2675,-115.3864,-9.33,0,
4,26.803,4,0.1534166,1.378256,8.983749,119.1725,-115.3863,-9.33,0,
4,26.903,4,0.1470326,1.322225,8.992734,119.5825,-115.3861,-9.33,0,
4,27.003,4,0.1492037,1.342285,8.996323,119.7138,-115.3863,-9.33,0,
4,27.103,4,0.1497707,1.347802,8.999103,119.37,-115.3861,-9.33,0,
4,27.203,4,0.1481536,1.332669,8.995186,119.2012,-115.386,-9.33,0,
4,27.303,4,0.1524133,1.369628,8.986276,119.0487,-115.3861,-9.33,0,
4,27.403,4,0.1470003,1.322469,8.996366,119.6225,-115.3863,-9.33,0,
4,27.503,4,0.1497355,1.347503,8.999227,119.3487,-115.3861,-9.33,0,
4,27.603,4,0.1488798,1.340287,9.002481,119.2675,-115.3858,-9.33,0,
4,27.703,4,0.1434336,1.290407,8.996546,119.1837,-115.3857,-9.33,0,
4,27.803,4,0.1519607,1.364864,8.981693,118.9563,-115.3854,-9.33,0,
4,27.903,4,0.146597,1.317442,8.986827,119.8087,-115.3855,-9.33,0,
4,28.003,4,0.1500037,1.34902,8.993245,119.7087,-115.3856,-9.33,0,
4,28.103,4,0.1489939,1.340641,8.99796,119.2638,-115.3859,-9.33,0,
4,28.203,4,0.14556,1.309037,8.993112,119.1338,-115.3859,-9.33,0,
4,28.303,4,0.1533251,1.377272,8.982697,119.24,-115.386,-9.33,0,
4,28.403,4,0.1475563,1.326599,8.990465,119.735,-115.3864,-9.33,0,
4,28.503,4,0.1490162,1.34043,8.995195,119.0725,-115.3862,-9.33,0,
4,28.603,4,0.1502494,1.352212,8.999781,119.225,-115.3862,-9.33,0,
4,28.703,4,0.1463118,1.31588,8.99367,119.02,-115.3864,-9.33,0,
4,28.803,4,0.1509572,1.356352,8.985012,119.2012,-115.3865,-9.33,0,
4,28.903,4,0.1453079,1.306706,8.992666,119.955,-115.3865,-9.33,0,
4,29.003,4,0.1473357,1.325538,8.996716,119.41,-115.3864,-9.33,0,
4,29.103,4,0.1477463,1.330013,9.002001,119.2425,-115.3863,-9.33,0,
4,29.203,4,0.1441853,1.296937,8.994932,119.1925,-115.3864,-9.33,0,
4,29.303,4,0.1501051,1.348974,8.986864,119.3338,-115.3862,-9.33,0,
4,29.403,4,0.1449097,1.302851,8.990777,119.93,-115.3865,-9.33,0,
4,29.503,4,0.1474223,1.326661,8.999053,119.5075,-115.3864,-9.33,0,
4,29.603,4,0.147205,1.325216,9.002522,119.2762,-115.3863,-9.33,0,
4,29.703,4,0.1430558,1.286877,8.995629,118.9338,-115.3865,-9.33,0,
4,29.803,4,0.1497196,1.345503,8.986817,119.605,-115.3866,-9.33,0,
4,29.903,4,0.1450173,1.304147,8.993041,119.645,-115.3869,-9.33,0,
4,30.003,4,0.1465786,1.31941,9.001379,119.18,-115.387,-9.33,0,
4,30.103,4,0.1479573,1.332474,9.0058,119.49,-115.3872,-9.33,0,
4,30.203,4,0.1425149,1.282506,8.999103,119.035,-115.3871,-9.33,0,
4,30.303,4,0.1513865,1.361065,8.99066,119.6075,-115.387,-9.33,0,
4,30.403,4,0.1450444,1.304439,8.993375,119.8787,-115.3874,-9.33,0,
